Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
4,Supernatant,5397,T21,24,IFN+,178143978.4,16683759.18,170381.9591,,515330.1954,1959803.1,1635498.78,926303.686,8216391.367,19034826.84,46179.96,,402360.17,
4,Supernatant,2767,T21,24,IFN+,91267163.19,6196884.419,89411.9678,,431721.0312,1106729.288,749078.1445,438648.808,4840526.844,15115947.94,13148.1501,,103924.38,
4,Supernatant,4616,T21,24,IFN+,195361602.3,11791157.61,372351.76,,587376.3828,2548470.425,1655588.208,697627.526,9282826.445,17342841.97,48317.973,,764899.04,
4,Supernatant,5659,D21,24,IFN-,183998285.3,1444533.606,183475.7059,,279832.1875,2073535.825,1373620.094,396622.854,7898042.266,16137442.25,116382.079,,191215.12,
4,Supernatant,2036,D21,24,IFN-,202178179.8,1821508.874,91020.2266,,519420.0371,2061624.21,1965139.941,456555.341,8936491.469,15233123.53,84886.3166,,389630.27,
4,Supernatant,8447,D21,24,IFN-,200934379.4,1501311.221,85481.7266,,251743.0313,2108142.075,1298129.625,308257.604,9094590.281,16471962.81,68328.8776,,347679.74,
4,Supernatant,5397,T21,24,IFN-,107002246.3,1605680.078,138482.8738,,277997.4766,1041064.258,831930.696,243604.71,5029445.785,15783251.66,18072.4427,,240843.57,
4,Supernatant,2767,T21,24,IFN-,144269377.6,3832760.091,34784.5742,,299638.8907,1481178.375,1147049.794,295444.75,7228016.817,17190974.66,27892.39,,309465.16,
4,Supernatant,4616,T21,24,IFN-,162949425.3,1547716.281,66111.2734,,346082.2774,1954877.925,1487205.917,435007.123,8217011.672,14284657.16,120303.7652,,264104.32,
5,Cells,5659,D21,0,IFN-,10033150.26,14548910.33,,40467.6445,,287990.6854,948179.5227,641637.372,1528849.59,,,14542.79,3503364.609,
5,Cells,2036,D21,0,IFN-,12053336.92,11493011.33,,46884.8594,,481966.9246,757003.2734,366440.8742,2045015.287,,,11015.45,2918274.007,
5,Cells,8447,D21,0,IFN-,3752662.794,7215847.766,,38986.332,,436998.4056,661471.6494,450337.8972,1718040.268,,,0,2887526.377,
5,Cells,5397,T21,0,IFN-,3976518.516,5829257.705,,20866.7051,,422525.4511,948892.6929,467199.8932,1601894.585,,,9934.542,3813568.93,
5,Cells,2767,T21,0,IFN-,20123927.41,23029807.84,,46482.1562,,508098.997,1433279.101,605403.6088,2278823.509,,,8740.7928,5588024.838,
